Alcohol,Grades,Sport,StartingAge,Gdp
2,3,4,5,15
1,2,4,4,15
2,2,4,5,15
3,2,4,3,15
3,4,4,4,15
1,4,2,4,15
1,2,2,4,15
3,4,3,4,15
5,2,2,1,15
1,2,3,4,15
1,4,3,4,15
2,2,4,4,15
1,2,3,5,15
1,2,3,4,15
5,1,4,5,15
2,2,4,4,15
3,2,3,4,15
1,2,3,4,15
1,2,3,4,15
2,1,4,4,15
3,2,3,4,15
2,2,4,4,15
2,1,3,4,15
4,2,1,4,15
1,2,4,4,15
2,2,3,4,15
1,4,2,4,15
1,4,3,4,15
3,3,3,3,15
2,2,4,3,15
1,2,3,4,15
2,1,4,3,15
1,4,4,4,15
1,2,2,3,15
1,3,3,4,15
3,1,4,5,15
3,2,3,5,15
1,1,2,4,15
2,4,3,5,15
1,1,4,4,15
1,2,4,4,15
2,3,1,3,15
1,2,1,4,15
1,2,3,4,15
1,4,4,4,15
2,2,4,5,15
2,3,4,4,15
3,2,4,1,15
1,2,3,4,15
1,4,4,4,15
3,1,4,5,15
2,2,2,4,15
1,4,2,4,15
1,3,2,4,15
2,2,4,2,15
2,3,4,4,15
2,3,4,5,15
1,4,2,4,15
1,3,3,4,15
1,3,3,4,15
1,3,3,4,15
2,2,4,4,15
2,3,3,5,15
2,3,4,2,15
1,3,4,4,15
1,4,3,4,15
2,3,3,4,15
2,4,3,5,15
2,3,3,5,15
2,2,4,4,15
1,3,4,4,15
2,4,3,2,15
3,4,4,4,15
3,2,4,2,15
4,3,4,3,15
1,2,4,4,15
4,2,4,4,15
2,3,3,4,15
1,2,3,4,15
2,2,4,5,15
3,3,4,4,15
1,2,4,4,15
3,2,3,3,15
2,2,4,5,15
2,2,2,4,15
2,2,3,2,15
3,3,4,3,15
1,2,3,4,15
1,2,3,4,15
2,2,3,4,15
2,4,4,4,15
2,2,2,5,15
1,2,4,4,15
4,3,4,3,15
2,2,3,5,15
3,4,4,4,15
3,3,4,4,15
3,2,4,5,15
2,4,4,4,15
2,2,3,4,15
1,2,3,4,15
2,3,3,4,15
2,2,4,4,15
2,4,4,4,15
2,2,2,4,15
2,2,1,3,15
4,2,4,5,15
1,3,1,4,15
2,4,1,4,15
1,2,3,4,15
3,3,3,5,15
4,2,3,3,15
2,3,1,4,15
1,2,3,4,15
2,2,3,5,15
2,3,4,4,15
1,2,2,4,15
1,2,3,4,15
1,2,2,4,15
1,3,4,4,15
1,2,3,3,15
2,3,3,4,15
2,2,4,3,15
2,2,4,5,15
3,2,2,5,15
2,2,3,4,15
1,2,3,4,15
1,2,2,4,15
1,2,2,4,15
1,3,4,4,15
4,2,4,4,15
1,2,3,4,15
3,2,4,5,15
1,3,4,4,15
3,2,4,4,15
3,3,3,5,15
1,2,4,4,15
3,2,4,2,15
2,2,3,5,15
2,2,4,5,15
2,2,4,3,15
1,2,3,4,15
2,2,3,5,15
2,2,3,4,15
2,2,3,5,15
2,2,1,5,15
2,2,3,5,15
2,2,4,5,15
3,2,4,5,15
1,2,4,4,15
1,2,2,5,15
2,2,3,2,15
2,3,3,4,15
2,3,3,5,15
2,4,2,5,15
2,4,4,4,15
2,2,3,5,15
1,2,4,4,15
1,3,1,4,15
3,3,4,5,15
3,3,4,4,15
3,3,3,3,15
3,2,4,4,15
1,2,4,4,15
3,2,4,3,15
1,4,3,4,15
2,2,4,4,15
3,4,4,3,15
5,4,4,1,15
1,2,2,4,15
3,1,4,4,15
1,3,4,4,15
1,2,3,4,15
2,2,4,3,15
1,3,4,4,15
1,4,3,4,15
1,4,3,4,15
3,3,4,4,15
1,3,3,4,15
1,2,4,4,15
1,1,4,4,15
2,4,3,5,15
2,4,3,3,15
1,3,3,4,15
2,3,3,4,15
2,3,3,5,15
2,2,3,4,15
3,2,4,5,15
2,3,2,5,15
1,2,2,4,15
1,3,3,4,15
2,2,4,3,15
3,2,4,4,15
1,2,4,4,15
1,2,2,4,15
2,2,3,3,15
1,2,3,5,15
3,3,1,4,15
1,2,2,4,15
2,2,4,4,15
2,3,1,4,15
1,2,3,4,15
2,3,4,3,15
3,3,3,3,15
3,4,4,5,15
1,3,4,4,15
2,3,4,5,15
3,2,2,5,15
1,2,3,4,15
2,2,3,5,15
3,1,4,3,15
2,2,4,5,15
1,3,3,4,15
2,3,3,3,15
2,2,4,5,15
2,2,4,4,15
2,3,3,5,15
1,4,3,4,15
1,2,3,4,15
1,4,4,4,15
2,4,3,5,15
2,3,2,5,15
1,4,2,4,15
1,2,4,4,15
2,2,4,5,15
2,4,4,5,15
1,1,4,5,15
1,2,2,4,15
1,2,2,4,15
1,2,2,4,15
2,2,4,5,15
1,1,4,4,15
2,1,1,4,15
2,1,1,4,15
2,2,2,4,15
1,2,3,4,15
2,2,3,5,15
4,2,1,3,15
4,2,4,3,15
3,2,4,5,15
4,2,1,4,15
4,3,3,4,15
2,2,3,4,15
3,2,2,4,15
4,2,4,4,15
3,1,1,4,15
1,2,2,4,15
1,4,4,4,15
4,2,4,5,15
3,2,3,4,15
3,1,3,5,15
3,2,3,4,15
3,2,4,3,15
3,1,4,5,15
1,2,2,4,15
1,2,1,4,15
2,2,4,4,15
3,3,4,4,15
2,1,4,3,15
4,2,4,3,15
2,2,4,4,15
3,2,3,5,15
1,3,3,4,15
1,3,4,4,15
1,3,4,4,15
1,4,4,4,15
4,2,3,2,15
4,2,4,3,15
2,3,3,4,15
2,3,3,4,15
2,3,3,4,15
2,3,3,3,15
2,2,3,5,15
5,2,4,3,15
1,2,3,4,15
2,2,2,4,15
4,2,3,4,15
4,2,4,4,15
1,2,3,4,15
2,3,1,4,15
2,2,3,4,15
1,2,4,5,15
1,3,3,4,15
2,2,4,5,15
1,2,3,4,15
1,3,4,4,15
3,2,4,5,15
2,3,4,3,15
2,2,2,5,15
2,2,3,5,15
1,2,2,4,15
3,2,3,5,15
1,2,3,5,15
2,2,2,3,15
3,3,4,5,15
2,3,2,5,15
4,1,4,5,15
3,2,4,5,15
1,2,3,5,15
2,2,3,5,15
1,2,2,4,15
1,3,3,4,15
4,2,4,5,15
2,3,2,5,15
4,2,2,3,15
1,4,4,4,15
2,2,4,5,15
1,2,4,4,15
1,2,2,4,15
3,2,4,4,15
1,3,3,4,15
1,2,2,4,15
1,1,1,5,15
1,2,3,4,15
3,1,3,5,15
2,2,1,4,15
1,2,4,4,15
1,2,2,4,15
3,3,4,4,15
1,2,4,4,15
2,1,3,5,15
1,2,3,4,15
1,3,3,4,15
2,1,4,4,15
1,2,3,4,15
2,3,4,4,15
1,2,4,4,15
1,2,3,4,15
1,2,4,4,15
1,4,3,4,15
2,1,3,5,15
2,2,2,4,15
2,3,4,3,15
3,2,3,4,15
2,1,4,5,15
3,2,4,3,15
2,1,4,4,15
1,2,3,4,15
2,3,4,3,15
1,4,3,4,15
1,2,3,4,15
1,3,4,4,15
2,2,4,4,15
2,4,3,5,15
1,1,4,4,15
2,3,4,4,15
2,3,3,4,15
1,2,4,4,15
5,2,4,1,15
5,2,2,1,15
2,4,4,3,15
5,3,4,1,15
5,4,4,1,15
1,3,3,4,15
1,3,2,4,15
2,2,4,5,15
1,2,4,4,15
2,2,4,4,15
1,3,4,4,15
1,3,3,4,15
2,3,3,1,15
1,4,2,4,15
1,3,3,4,15
2,3,4,4,15
2,2,3,4,15
2,3,4,4,15
1,3,4,4,15
1,4,3,4,15
2,3,2,5,15
2,1,2,5,15
1,4,3,4,15
3,2,2,2,15
3,3,3,2,15
3,3,3,2,15
3,3,4,2,15
1,4,4,4,15
2,2,2,4,15
2,3,2,4,15
3,4,3,3,15
3,2,3,3,15
2,3,4,4,15
2,3,4,3,15
1,4,4,4,15
2,1,4,3,15
2,1,4,5,15
1,1,4,5,15
2,3,2,5,15
1,4,3,4,15
1,2,3,4,15
2,1,4,4,15
2,1,2,4,15
3,2,4,5,15
4,2,3,5,15
4,2,3,2,15
2,2,3,5,15
1,2,3,4,15
4,2,1,3,15
3,2,4,3,15
3,3,4,3,15
3,2,4,4,15
2,2,2,4,15
2,2,4,5,15
2,3,4,5,15
3,2,4,2,15
2,3,4,4,15
1,2,4,4,15
1,3,3,4,15
2,2,2,3,15
1,3,4,4,15
2,3,3,3,15
3,2,3,5,15
1,3,2,4,15
3,3,4,5,15
3,3,3,4,15
1,3,4,4,15
1,3,4,4,15
3,1,4,5,15
2,4,4,5,15
2,3,1,4,15
3,4,3,4,15
3,2,4,4,15
2,1,2,4,15
2,2,3,4,15
3,2,3,3,15
3,2,4,5,15
2,3,4,5,15
2,2,3,1,15
3,2,4,5,15
1,3,2,1,15
3,2,4,3,15
2,2,2,4,15
3,3,4,3,15
2,3,3,4,15
2,4,3,4,15
2,4,3,4,15
2,3,2,4,15
2,2,4,5,15
3,3,4,4,15
3,2,4,4,15
2,3,4,5,15
4,2,4,1,15
1,2,4,4,15
1,3,2,4,15
2,4,3,4,15
2,4,4,4,15
5,3,4,3,15
2,1,4,2,15
2,2,4,1,15
3,2,4,5,15
2,2,3,4,15
1,2,3,4,15
3,2,4,5,15
3,2,4,5,15
3,2,3,1,15
3,1,4,3,15
3,2,2,3,15
4,2,4,3,15
5,2,4,5,15
2,1,4,3,15
2,2,4,4,15
3,3,3,5,15
2,3,4,5,15
2,2,4,3,15
2,4,4,5,15
2,3,4,3,15
2,4,2,4,15
2,4,3,4,15
2,4,4,4,15
3,3,4,4,15
3,2,4,4,15
1,2,1,4,15
3,3,4,4,15
2,1,4,4,15
2,2,2,4,15
3,2,4,4,15
3,1,4,4,15
2,2,4,1,15
3,3,4,4,15
2,2,4,5,15
3,3,4,4,15
3,2,3,4,15
2,3,4,5,15
2,3,4,5,15
1,2,2,4,15
1,4,4,4,15
2,4,3,4,15
3,4,3,4,15
2,2,2,4,15
1,2,4,5,15
1,2,3,1,15
1,2,1,4,15
3,2,4,4,15
1,1,2,4,15
2,2,4,4,15
1,2,4,5,15
2,4,4,4,15
2,2,2,5,15
3,2,4,5,15
2,2,4,4,15
2,2,3,5,15
2,3,4,4,15
2,3,4,4,15
1,2,4,4,15
2,2,4,4,15
2,3,1,4,15
2,2,4,3,15
2,2,3,4,15
2,2,4,5,15
1,3,3,4,15
1,3,4,4,15
2,4,4,4,15
1,3,3,4,15
2,3,3,4,15
1,2,4,4,15
1,3,2,4,15
1,4,3,4,15
3,2,4,4,15
1,4,4,4,15
1,4,1,4,15
1,4,4,4,15
2,3,3,4,15
2,3,3,4,15
1,3,4,4,15
1,2,4,4,15
1,3,3,4,15
1,1,3,4,15
2,1,4,2,15
1,3,3,4,15
1,2,2,4,15
2,1,4,5,15
2,4,4,5,15
2,2,2,5,15
1,3,2,4,15
2,3,3,5,15
1,2,3,4,15
2,2,1,5,15
2,1,4,1,15
4,1,4,4,15
2,3,4,1,15
2,1,3,4,15
2,2,4,5,15
4,2,4,3,15
3,2,4,1,15
2,3,4,5,15
2,2,4,4,15
2,2,4,4,15
3,2,4,4,15
3,2,4,5,15
1,2,4,4,15
1,3,3,4,15
1,2,3,4,15
2,2,2,5,15
1,3,3,4,15
2,3,3,4,15
1,4,3,4,15
2,3,3,4,15
2,3,3,4,15
2,3,3,4,15
3,2,4,4,15
2,2,4,5,15
2,4,3,4,15
2,2,1,4,15
2,2,2,4,15
1,2,4,4,15
1,3,4,4,15
1,4,3,4,15
1,2,3,4,15
1,2,3,4,15
1,3,3,4,15
2,2,3,4,15
2,2,3,4,15
1,2,4,4,15
3,3,4,5,15
2,2,2,4,15
1,2,2,4,15
2,2,4,4,15
2,1,3,4,15
2,2,4,5,15
2,2,4,4,15
3,3,3,4,15
3,2,4,4,23
3,2,4,5,23
3,2,4,5,23
3,2,4,1,23
1,2,4,4,23
2,2,4,5,23
2,1,3,4,23
4,1,4,4,23
2,2,2,3,23
2,2,4,3,23
3,2,3,3,23
4,2,3,2,23
2,2,4,4,23
1,3,4,4,23
2,2,3,3,23
1,2,4,4,23
2,2,4,5,23
4,2,3,5,23
2,2,4,4,23
2,2,4,5,23
2,2,3,4,23
2,2,3,5,23
2,1,3,2,23
3,2,3,4,23
1,2,3,4,23
2,3,2,4,23
2,2,4,3,23
1,2,3,4,23
2,3,4,4,23
1,2,3,4,23
2,2,4,5,23
2,1,3,4,23
1,2,4,4,23
1,3,2,4,23
1,2,2,5,23
2,1,3,5,23
2,3,4,1,23
1,2,4,4,23
2,2,4,5,23
2,1,4,5,23
1,2,4,4,23
1,2,4,5,23
1,1,4,4,23
2,2,4,4,23
2,1,4,5,23
1,3,2,4,23
2,1,2,3,23
1,2,4,4,23
1,2,3,2,23
2,2,2,4,23
3,1,4,4,23
1,2,4,4,23
1,2,1,4,23
1,2,2,4,23
5,1,4,3,23
1,1,3,4,23
1,2,3,4,23
2,1,4,4,23
1,1,4,4,23
3,1,4,4,23
1,2,3,4,23
3,3,2,4,23
1,1,4,4,23
1,2,4,4,23
3,2,4,3,23
1,2,4,4,23
5,1,4,5,23
1,3,4,4,23
2,3,4,5,23
1,2,4,4,23
2,3,3,5,23
1,1,4,4,23
1,4,3,3,23
1,2,3,4,23
2,2,4,4,23
4,2,4,5,23
2,2,4,4,23
3,1,4,3,23
3,2,4,5,23
2,2,3,3,23
1,1,2,5,23
2,1,4,5,23
1,1,4,4,23
1,2,4,4,23
3,3,4,4,23
1,2,4,4,23
1,2,1,4,23
2,2,2,5,23
2,2,2,4,23
1,1,2,4,23
2,1,2,4,23
1,2,2,4,23
2,1,3,4,23
1,2,2,4,23
4,1,4,5,23
2,2,3,5,23
1,1,3,4,23
1,2,2,4,23
1,2,4,4,23
4,1,4,5,23
1,1,3,4,23
1,1,4,4,23
1,1,3,4,23
1,2,3,4,23
3,1,2,3,23
3,2,1,1,23
3,1,2,4,23
3,1,3,3,23
2,1,3,5,23
2,2,4,4,23
2,2,2,4,23
2,2,3,4,23
2,2,3,4,23
1,2,3,4,23
1,2,3,4,23
2,4,4,1,23
2,1,4,5,23
1,2,2,4,23
2,2,3,5,23
1,2,2,4,23
1,2,4,4,23
1,2,3,4,23
2,3,4,2,23
2,1,2,4,23
3,2,3,5,23
1,2,4,4,23
1,2,2,4,23
3,2,2,4,23
3,2,2,4,23
2,2,3,5,23
4,2,1,4,23
1,2,3,4,23
4,2,4,5,23
1,2,4,4,23
2,2,4,4,23
2,2,4,4,23
2,2,4,1,23
1,3,2,4,23
2,3,3,4,23
3,3,4,5,23
1,2,2,4,23
1,2,2,5,23
2,1,4,5,23
1,3,3,4,23
4,2,3,4,23
1,2,4,4,23
2,2,4,5,23
1,2,3,4,23
1,2,4,4,23
2,2,4,3,23
2,2,3,1,23
2,4,3,1,23
2,4,3,5,23
1,2,4,4,23
2,3,1,4,23
3,2,1,5,23
1,2,4,4,23
1,2,4,5,23
2,2,2,5,23
2,2,2,3,23
2,2,2,3,23
2,2,4,4,23
2,4,4,5,23
2,2,3,5,23
2,2,3,5,23
2,3,3,5,23
1,2,3,4,23
1,3,2,4,23
1,2,4,4,23
1,3,2,4,23
1,2,3,4,23
1,2,1,4,23
1,3,3,4,23
1,2,3,4,23
2,3,2,4,23
2,2,3,5,23
2,4,4,4,23
1,4,2,4,23
1,4,4,4,23
3,2,4,5,23
1,2,3,4,23
1,2,4,4,23
1,2,3,4,23
1,3,4,4,23
1,3,4,4,23
1,3,2,4,23
1,4,2,4,23
1,4,4,4,23
